證券代號,證券名稱,成交股數,成交筆數,成交金額,開盤價,最高價,最低價,收盤價,漲跌(+/-),漲跌價差,最後揭示買價,最後揭示買量,最後揭示賣價,最後揭示賣量,本益比
2258,鴻華先進-創,155171,77,6747388,43.45,43.95,43.45,43.55,+,0.10,43.50,1,43.55,4,0.00
2301,光寶科,13651541,7674,1485020867,110.50,111.00,107.50,107.50,-,3.50,107.50,829,108.00,170,16.56
2302,麗正,419543,269,7596333,18.30,18.45,17.90,18.00,-,0.35,17.95,21,18.00,2,27.69
2303,聯電,182721042,80073,9187965232,50.80,51.10,49.80,49.80,-,2.50,49.75,968,49.80,573,9.31
2305,全友,245052,183,5555742,22.65,23.05,22.50,22.50,-,0.25,22.45,17,22.55,3,0.00
2308,台達電,5561061,5841,1597641071,281.50,290.00,281.50,287.50,+,3.50,287.50,39,288.00,74,23.09
2312,金寶,3130438,1211,49218586,15.80,15.90,15.60,15.60,-,0.20,15.60,151,15.65,63,31.84
2313,華通,10244182,6871,710722701,69.80,70.20,68.50,69.00,-,0.80,68.90,42,69.00,38,17.12
2314,台揚,2236982,1567,77341158,35.20,35.20,34.30,34.35,-,0.85,34.30,85,34.35,12,0.00
2316,楠梓電,3233305,2443,113638168,35.85,36.05,34.55,34.55,-,1.30,34.50,151,34.55,25,45.46
2317,鴻海,25831872,11871,2652830913,102.00,103.50,102.00,102.50,+,0.50,102.00,2612,102.50,11,11.02
2321,東訊,12257,15,184544,14.55,15.40,14.55,15.20,+,0.15,15.05,1,15.40,1,0.00
2323,中環,2864412,883,31255744,10.90,11.00,10.85,10.85,-,0.05,10.85,290,10.90,33,13.07
2324,仁寶,55347585,26340,1981890620,36.20,36.65,35.35,35.50,-,1.70,35.50,48,35.55,175,22.19
2327,國巨,652487,1664,361222108,556.00,559.00,551.00,552.00,-,4.00,552.00,24,553.00,3,13.71
2328,廣宇,365470,350,12382451,33.90,34.05,33.70,33.80,+,0.10,33.80,4,33.85,3,13.52
2329,華泰,30853424,18552,1898115363,63.10,63.40,60.20,60.50,-,2.70,60.50,41,60.60,30,29.51
2330,台積電,42644850,41681,27453256719,644.00,646.00,639.00,644.00,+,2.00,644.00,811,645.00,2919,18.64
2331,精英,4673545,2390,144827956,31.20,31.35,30.70,30.90,-,0.55,30.85,91,30.90,151,25.97
2332,友訊,1431950,666,27827612,19.45,19.60,19.35,19.35,-,0.10,19.35,109,19.40,7,14.02
2337,旺宏,8113879,3075,245318593,30.10,30.55,29.90,30.55,+,0.55,30.50,42,30.55,47,0.00
2338,光罩,500859,484,34079606,68.50,68.50,67.80,67.90,-,0.50,67.80,46,67.90,13,16.01
2340,台亞,881138,685,38882710,44.40,44.60,43.80,43.95,-,0.35,43.95,5,44.00,27,63.70
2342,茂矽,401878,336,12787925,32.10,32.10,31.75,31.75,-,0.30,31.70,49,31.80,3,0.00
2344,華邦電,36694297,12328,1027845500,27.95,28.45,27.70,28.00,+,0.15,27.90,6,28.00,535,0.00
2345,智邦,1071240,1363,549416151,512.00,516.00,509.00,510.00,-,3.00,509.00,23,510.00,2,31.58
2347,聯強,2269207,2000,164752435,72.50,73.10,72.30,72.70, ,0.00,72.60,1,72.70,175,15.98
2348,海悅,83355,119,8021099,97.00,97.00,95.90,96.00,-,0.40,96.00,4,96.20,1,13.46
2348A,海悅甲特,4000,4,131500,32.90,32.90,32.85,32.85,+,0.05,32.80,6,33.00,2,0.00
2349,錸德,641527,441,5078112,7.94,7.95,7.89,7.90,-,0.04,7.89,26,7.90,2,0.00
2351,順德,192441,217,20058441,104.00,105.50,103.50,103.50,-,0.50,103.50,7,104.00,8,24.01
2352,佳世達,3255843,2703,148946144,46.00,46.25,45.40,45.60,-,0.30,45.55,27,45.60,27,30.60
2353,宏碁,66244695,30199,3062305131,46.80,47.20,45.35,45.70,-,1.90,45.65,744,45.70,57,44.37
2354,鴻準,1224267,1178,61759807,50.30,50.70,50.20,50.50,-,0.10,50.40,44,50.50,2,17.72
2355,敬鵬,2029509,1306,88716181,43.80,43.90,43.25,43.75,+,0.50,43.70,26,43.75,8,23.78
2356,英業達,59825765,32717,3331468721,56.00,56.70,55.10,55.40,-,0.80,55.40,11,55.50,506,35.97
2357,華碩,5168551,7546,2280983518,453.00,453.50,436.50,439.00,-,19.00,439.00,17,439.50,6,39.87
2358,廷鑫,564686,325,4612072,8.24,8.31,8.10,8.11,-,0.13,8.11,14,8.12,5,0.00
2359,所羅門,1754031,1485,70515984,40.70,41.10,39.85,39.85,-,0.60,39.85,12,39.90,6,12.81
2360,致茂,3530546,2815,710114918,202.50,204.50,197.00,201.50,-,2.00,201.00,107,201.50,63,21.12
2362,藍天,4400306,2859,184460208,43.20,43.20,41.25,41.45,-,1.30,41.45,1,41.50,2,24.38
2363,矽統,6630033,4330,283472173,43.15,43.60,42.15,42.15,-,1.00,42.15,52,42.20,10,54.04
2364,倫飛,281672,341,25698652,91.50,92.50,90.50,91.10,-,0.40,91.00,5,91.20,2,22.27
2365,昆盈,53243882,19492,876024159,15.75,17.25,15.40,15.90,-,0.15,15.90,9,15.95,11,51.29
2367,燿華,1515448,805,29089690,19.35,19.35,19.10,19.20, ,0.00,19.15,27,19.20,43,0.00
2368,金像電,5613350,3804,1230402893,220.50,223.00,216.50,216.50,-,6.00,216.50,26,217.00,11,31.38
2369,菱生,8148046,4046,187533528,23.00,23.60,22.65,22.70,-,0.50,22.70,182,22.75,38,0.00
